,path,folder,data
76,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1033251.jpg
77,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1044789.jpg
78,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1089334.jpg
79,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1105700.jpg
80,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,12301.jpg
81,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1285298.jpg
82,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,138855.jpg
83,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1412034.jpg
84,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1524655.jpg
85,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1572608.jpg
86,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1633289.jpg
87,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1649276.jpg
88,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1654444.jpg
89,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1660415.jpg
90,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1899785.jpg
91,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1947572.jpg
92,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,1968947.jpg
93,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2026009.jpg
94,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2121603.jpg
95,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2154394.jpg
96,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,218711.jpg
97,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2190018.jpg
98,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,220190.jpg
99,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2228322.jpg
100,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2285942.jpg
101,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2291093.jpg
102,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2330965.jpg
103,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2382016.jpg
104,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2426686.jpg
105,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2428085.jpg
106,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,244505.jpg
107,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2451169.jpg
108,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2493954.jpg
109,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2569760.jpg
110,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2576168.jpg
111,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2687575.jpg
112,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2702825.jpg
113,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2760984.jpg
114,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2785084.jpg
115,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2800325.jpg
116,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2811032.jpg
117,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2821048.jpg
118,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2885050.jpg
119,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2885796.jpg
120,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2924941.jpg
121,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,29417.jpg
122,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,2992084.jpg
123,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,300869.jpg
124,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3018077.jpg
125,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3109486.jpg
126,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3196721.jpg
127,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,320570.jpg
128,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3269634.jpg
129,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3281494.jpg
130,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3338774.jpg
131,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3441394.jpg
132,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3505182.jpg
133,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3530210.jpg
134,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3589437.jpg
135,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3699992.jpg
136,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3821701.jpg
137,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,38349.jpg
138,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,3860002.jpg
139,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,393658.jpg
140,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,5764.jpg
141,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,618348.jpg
142,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,667309.jpg
143,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,68684.jpg
144,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,702165.jpg
145,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,715169.jpg
146,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,739735.jpg
147,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,741883.jpg
148,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,764429.jpg
149,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,765799.jpg
150,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,786995.jpg
151,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,853441.jpg
152,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,pizza,928670.jpg
153,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,100135.jpg
154,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1225762.jpg
155,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1257104.jpg
156,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1264154.jpg
157,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1382427.jpg
158,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1413972.jpg
159,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1598345.jpg
160,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1615395.jpg
161,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1621763.jpg
162,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1624747.jpg
163,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1647351.jpg
164,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,165639.jpg
165,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,167069.jpg
166,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1736968.jpg
167,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1761285.jpg
168,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,176508.jpg
169,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1787505.jpg
170,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1839481.jpg
171,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1849463.jpg
172,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1937872.jpg
173,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1961025.jpg
174,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1966300.jpg
175,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,1976160.jpg
176,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2013535.jpg
177,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2017387.jpg
178,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2087958.jpg
179,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2129685.jpg
180,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,214320.jpg
181,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2163079.jpg
182,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2222018.jpg
183,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2254705.jpg
184,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,225990.jpg
185,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2287136.jpg
186,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,231296.jpg
187,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2324994.jpg
188,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,234626.jpg
189,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,239025.jpg
190,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2561199.jpg
191,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,256592.jpg
192,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2603058.jpg
193,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2606444.jpg
194,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2614189.jpg
195,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2614649.jpg
196,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2628106.jpg
197,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2629750.jpg
198,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2648423.jpg
199,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2707522.jpg
200,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2825100.jpg
201,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2878151.jpg
202,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2880035.jpg
203,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2881783.jpg
204,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,2979061.jpg
205,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3074367.jpg
206,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3142045.jpg
207,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3142674.jpg
208,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3245622.jpg
209,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,339891.jpg
210,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3518960.jpg
211,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,355715.jpg
212,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3577618.jpg
213,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3727036.jpg
214,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3727491.jpg
215,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,3857508.jpg
216,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,421476.jpg
217,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,443210.jpg
218,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,461689.jpg
219,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,482022.jpg
220,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,560503.jpg
221,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,735441.jpg
222,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,75537.jpg
223,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,830007.jpg
224,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,914570.jpg
225,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,922752.jpg
226,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,937133.jpg
227,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,steak,97656.jpg
228,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1070104.jpg
229,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1129338.jpg
230,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1138695.jpg
231,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1209865.jpg
232,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1214108.jpg
233,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,121940.jpg
234,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1221830.jpg
235,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1232045.jpg
236,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1280119.jpg
237,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,14046.jpg
238,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,148799.jpg
239,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1551817.jpg
240,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1552504.jpg
241,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1571146.jpg
242,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1575445.jpg
243,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1615453.jpg
244,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,169392.jpg
245,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,170385.jpg
246,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,17704.jpg
247,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,1957449.jpg
248,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,200025.jpg
249,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2004525.jpg
250,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2017378.jpg
251,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2019344.jpg
252,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2021381.jpg
253,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2021685.jpg
254,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2120573.jpg
255,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2175561.jpg
256,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2267190.jpg
257,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2323548.jpg
258,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2492146.jpg
259,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2574453.jpg
260,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2590819.jpg
261,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2641778.jpg
262,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2674024.jpg
263,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,268990.jpg
264,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2720223.jpg
265,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2797464.jpg
266,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\train,sushi,2813454.jpg
